取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4389,プロパティデータバンク,東G,"1,057",-2.0 (-0.19%) ,,,,,,,,,,,,,
2026-08-20,438A,インフキュリオン,東G,"1,011",+20.0 (+2.02%) ,,,,,,,,,,,,,
2026-08-20,4390,ＩＰＳ,東P,"3,980",+95.0 (+2.45%) ,2.72,12.34,24.6,86.03,42.08,36.96,(連),1.01,324.90,15.86,2.95,2.95,13.31
2026-08-20,4391,ロジザード,東G,"1,126",-3.0 (-0.27%) ,,,,,,,,,,,,,
2026-08-20,4392,ＦＩＧ,東P,"1,301",-102.0 (-7.27%) ,,,,,,,,,,,,,
2026-08-20,4393,バンク・オブ・イノベーション,東G,"5,280",+90.0 (+1.73%) ,3.61,15.53,26.3,7.86,60.43,73.22,(連),0.00,,,,,
2026-08-20,4394,エクスモーション,東G,556,+4.0 (+0.72%) ,2.02,26.33,7.8,0.00,23.57,89.84,(連),1.80,,,,,
2026-08-20,4395,アクリート,東G,693,+42.0 (+6.45%) ,1.49,14.92,11.8,18.83,58.61,48.53,(連),1.44,,,,,
2026-08-20,4396,システムサポートＨＬＤＧ,東P,"1,414",+16.0 (+1.14%) ,,,,,,,,,99.50,1.44,0.00,1.56,11.68
2026-08-20,4397,チームスピリット,東G,422,+12.0 (+2.93%) ,4.29,19.17,25.4,0.00,411.24,36.08,(連),0.00,,,,,
2026-08-20,4398,ブロードバンドセキュリティ,東S,"1,289",-1.0 (-0.08%) ,,,,,,,,,,,,,
2026-08-20,439A,アクトビ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4401,ＡＤＥＫＡ,東P,"4,563",+52.0 (+1.15%) ,1.42,16.42,9.1,54.52,8.71,55.97,(連),2.45,293.86,2.71,2.21,2.72,5.16
2026-08-20,4403,日油,東P,"2,760.5",+54.5 (+2.01%) ,2.12,15.65,14.1,27.79,8.15,73.99,(連),2.21,187.68,2.29,-2.30,3.25,14.81
2026-08-20,4404,ミヨシ油脂,東S,"2,087",-22.0 (-1.04%) ,0.5,2.21,26.1,0.00,-36.38,50.65,(連),4.79,,,,,
2026-08-20,4406,新日本理化,東S,246,-2.0 (-0.81%) ,0.46,15.35,3.2,14.35,-54.23,48.93,(連),1.83,,,,,
2026-08-20,4409,東邦化学工業,東S,775,+15.0 (+1.97%) ,0.68,10.67,6.8,17.01,10.15,33.93,(連),2.84,,,,,
2026-08-20,4410,ハリマ化成グループ,東P,"1,150",+42.0 (+3.79%) ,0.69,11.91,6.0,58.87,125.26,39.66,(連),3.65,,,,,
2026-08-20,4412,サイエンスアーツ,東G,"1,226",+20.0 (+1.66%) ,7.13,85.61,12.0,0.00,370.59,67.04,(単),0.00,,,,,
2026-08-20,4413,ボードルア,東P,"3,120",+85.0 (+2.80%) ,12.61,39.45,40.0,0.00,36.99,55.03,(連),0.24,100.50,1.15,0.74,4.00,43.21
2026-08-20,4414,フレクト,東G,"1,044",+16.0 (+1.56%) ,,,,,,,,,139.10,0.33,-13.79,-26.47,14.38
2026-08-20,4415,ブロードエンタープライズ,東G,"1,368",-54.0 (-3.80%) ,5.17,20.07,29.4,0.00,36.52,15.09,(単),0.00,,,,,
2026-08-20,4416,Ｔｒｕｅ　Ｄａｔａ,東G,410,+9.0 (+2.24%) ,1.71,24.65,6.9,0.00,120.41,75.81,(単),0.00,,,,,
